voice_id,race,gender,excluded,if_ex_y
Antoni,w,M,n,
Adam,w,M,n,
Adeline,w,F,y,profile pic is of an aisan woman
Alex,w,M,y,profile pic of of an aisan man
Halley,w,F,n,
David,w,M,n,
Cassidy,w,F,y,profile pic is of an aisan woman
Matilda,w,F,n,
Jeff,w,M,n,
Vanessa,w,F,n,
David Castlemore,w,M,n,
Grandpa Storyteller Oxley,w,M,n,
Jessica Anne Bogart,w,F,n,
B. Hardscrabble Oxley,w,M,y,very breathy vq
Educational Elias,w,M,n,
Thomas Louis,w,M,n,
Alloy,w,F,y,voice saves as a 24 kHz .mp3 file.
Echo,w,M,n,
Fable,w,M,y,very high pitch.
Onyx,w,M,y,voice saves as a 24 kHz .mp3 file
Nova,w,F,n,
Shimmer,w,M,y,high pitch
Mark,w,M,n,
Okole,b,M,y,listed as 'white' but is not. sounds british
Alex,w,M,n,
Valentino,w,M,y,accented
Joanne,w,F,n,
Sally,w,F,n,
Annabell,w,F,n,
Theresa,w,F,n,
Harrison,w,M,n,
David,w,M,y,This is a known podcast host
Hal,w,M,n,
Road Dawg,b,M,n,was listed as white
Kali,w,F,y,accented
Ryan,w,M,y,accented
Marques,b,M,n,
Bob,w,M,n,
Rob,w,M,n,
Drew,w,M,n,
Frank,w,M,n,
Serena,w,F,n,
Nicole,w,F,n,
Clyde,w,M,n,
Domi,w,M,n,
Ivy,w,F,n,
Meg,w,F,y,profile pic is of an asian woman
Bella,w,F,n,
Thomas,w,M,n,
Emily,w,F,n,
Elli,w,F,n,
Callum,w,M,y,very harsh vq
Patrick,w,M,n,
Harry,w,M,n,
Liam,w,M,n,
Josh,w,M,n,
Arnold,w,M,n,
Aria,w,F,y,accented
Cody Whatmore,w,M,n,
Santa Claus,w,M,y,santa clause
Haven Sands - Sports Commentator,w,M,n,
Kirt - Sports Podcast Host,w,M,n,
Sports Guy - Play-by-Play,w,M,n,
Naomi,b,F,n,
Attank,b,M,n,
Alicia,b,F,n,
Lamar Lincoln,b,M,n,
Sassy Aerisita,b,F,n,
Lisa,b,F,n,
Sevan Bomar,b,M,n,
Young Jamal,b,M,n,
Jamal,b,M,n,
Natasha,b,F,n,
Kayla,b,F,n,
Christina,b,F,n,
Hobbs,b,M,n,
Dakota H,b,F,n,
Nia Davis,b,F,n,
Anesha,b,F,n,
Berto Jolliffe,b,M,n,
Amara,b,F,y,voice does not play audibly
Niki,b,F,n,
Raven,b,F,n,
Rahmir Odessa,b,M,n,